team,rating,rank
Argentina,2226.9357303964666,1
Spain,2217.5628817173956,2
France,2202.7490986346734,3
England,2146.16289393594,4
Colombia,2090.9515798973907,5
Brazil,2073.982123960585,6
Portugal,2067.104858746941,7
Morocco,2054.0335560298054,8
Netherlands,2045.6845384382777,9
Norway,2032.188735333973,10
Switzerland,2020.2671994142656,11
Mexico,2010.1189421667677,12
Belgium,1998.5427035612768,13
Germany,1990.6648465661985,14
Japan,1972.1271050406592,15
Ecuador,1962.4649959483759,16
Croatia,1941.304624198165,17
Uruguay,1923.0323422921283,18
Italy,1919.328982676773,19
Turkey,1917.9053590434748,20
Denmark,1916.1724034512893,21
Australia,1906.9341997447266,22
Paraguay,1899.4710524916243,23
United States,1891.4763357584225,24
Austria,1891.3670473286566,25
Iran,1888.2552925523303,26
Nigeria,1881.6364702170763,27
Senegal,1879.7237046295973,28
Yugoslavia,1873.0043980561327,29
Egypt,1865.2691743100595,30
Algeria,1857.3822562129594,31
Ukraine,1845.0210106784396,32
Russia,1843.0314727196587,33
Ivory Coast,1841.5868172452824,34
South Korea,1840.726523326971,35
Canada,1839.66428980566,36
Venezuela,1821.8052186367554,37
Scotland,1812.480990882635,38
DR Congo,1808.5317308080207,39
Jersey,1805.3278178364749,40
Czechoslovakia,1804.7000761306085,41
Chile,1803.6651766998748,42
Basque Country,1799.2918769603552,43
Sweden,1795.3490172832746,44
Serbia,1789.6834765266192,45
Greece,1787.8404432376847,46
Poland,1777.0462176050808,47
Hungary,1772.2263989860585,48
Peru,1770.6187237504928,49
Panama,1768.6882069710205,50
Republic of Ireland,1760.0363740100274,51
Kosovo,1759.8770608355048,52
Czech Republic,1750.2410677170435,53
Guernsey,1745.6436903885171,54
Costa Rica,1743.063796093305,55
Wales,1740.9284205318131,56
Slovenia,1738.6408403714693,57
German DR,1731.980566679572,58
Slovakia,1731.5539561237629,59
Uzbekistan,1729.7118979189368,60
Cameroon,1723.888958332211,61
Jordan,1720.2402159124686,62
Bolivia,1715.4999372439681,63
Isle of Man,1709.1392573464177,64
Mali,1708.062284887748,65
Georgia,1705.6577893299248,66
Saudi Arabia,1704.210001752195,67
Honduras,1699.6743961554305,68
Cape Verde,1698.0887387049636,69
Romania,1697.0447859506694,70
South Africa,1693.0323894594721,71
Israel,1689.9813898658515,72
Northern Cyprus,1689.4399617338563,73
New Zealand,1687.689353611153,74
Occitania,1686.7961104417334,75
Padania,1686.2487357920836,76
Ghana,1680.509410352094,77
Bosnia and Herzegovina,1674.106857095283,78
Albania,1674.0437045323192,79
Iraq,1672.6867376202008,80
United Arab Emirates,1665.2569570442517,81
Northern Ireland,1664.407646103704,82
Isle of Wight,1660.2561729055583,83
Tunisia,1660.2107865209757,84
Haiti,1657.1039055668548,85
Catalonia,1655.1925927961827,86
Burkina Faso,1651.727920878677,87
Jamaica,1651.7276824071137,88
North Macedonia,1647.6449414739657,89
Iraqi Kurdistan,1645.28815218857,90
Guatemala,1640.4824215054018,91
Ynys Môn,1639.7055380305717,92
Iceland,1636.2934087265505,93
Abkhazia,1628.1675006929147,94
Finland,1614.1462146663932,95
Kárpátalja,1606.7556137900292,96
Syria,1599.0811328588848,97
Kernow,1595.6361229779282,98
Curaçao,1595.1576906880732,99
Andalusia,1592.5586664256898,100
Rhodes,1591.7456258823827,101
County of Nice,1591.0145719099567,102
New Caledonia,1590.1801019185116,103
Angola,1588.7680730612483,104
Palestine,1588.0746628684485,105
Tamil Eelam,1586.834761684296,106
Panjab,1585.6829392392476,107
Belarus,1584.3544073952476,108
Suriname,1582.944146141982,109
Réunion,1581.2375200533593,110
Guinea,1577.9088146588927,111
Oman,1573.6957982185124,112
Ellan Vannin,1569.8116991667714,113
Kurdistan,1567.252841710905,114
Menorca,1566.1243348473047,115
