team,rating,rank
Spain,2210.679897447285,1
Argentina,2188.680924840819,2
France,2121.6599504720384,3
England,2086.9619574534377,4
Colombia,2062.788976422179,5
Brazil,2060.556923868667,6
Portugal,2031.2958259272382,7
Germany,2018.4319875745157,8
Netherlands,2010.5868745261785,9
Japan,1994.4221184839635,10
Morocco,1991.2428624281686,11
Mexico,1983.5956827425227,12
Ecuador,1979.9758870708843,13
Uruguay,1974.0552512901534,14
Belgium,1971.505493634651,15
Croatia,1964.1424238453194,16
Norway,1956.698070409342,17
Australia,1954.4376440570502,18
Switzerland,1936.2146410642358,19
Senegal,1913.5169085472241,22
Turkey,1910.0060245771606,23
South Korea,1903.4245008397902,24
Iran,1898.1915186474678,25
Austria,1894.4534527406656,26
Algeria,1883.9641353045363,27
United States,1876.6506505771806,29
Canada,1871.7293663479168,31
Paraguay,1866.2188478334465,32
Ivory Coast,1860.7856893249514,33
Scotland,1852.4471822733728,34
Panama,1847.6556117032371,35
Uzbekistan,1820.5409529153849,39
Sweden,1817.0736848911497,40
Egypt,1810.025378533098,41
Jordan,1775.0725403855067,49
Czech Republic,1773.3865177597502,50
DR Congo,1762.6420482260887,53
Iraq,1737.7757327207178,60
New Zealand,1731.7598506982317,62
Saudi Arabia,1691.4014643309658,71
Tunisia,1686.1528731029362,76
Haiti,1678.6353290474428,77
Bosnia and Herzegovina,1671.9077803404662,79
South Africa,1654.6593445281208,84
Cape Verde,1653.204897321697,85
Ghana,1624.4440528803584,94
Qatar,1590.4161616236966,102
Curaçao,1589.8657840910328,104
