check,value,ok
sum p_r32 == 32,32.0,True
sum p_r16 == 16,16.0,True
sum p_qf == 8,8.0,True
sum p_sf == 4,4.0,True
sum p_final == 2,2.0,True
sum p_champion == 1,1.0,True
per-team monotone across stages,1.0,True
"group A expected qualifiers in [2,3]",2.6584,True
"group B expected qualifiers in [2,3]",2.67285,True
"group C expected qualifiers in [2,3]",2.6763999999999997,True
"group D expected qualifiers in [2,3]",2.7046,True
"group E expected qualifiers in [2,3]",2.66635,True
"group F expected qualifiers in [2,3]",2.67355,True
"group G expected qualifiers in [2,3]",2.7101,True
"group H expected qualifiers in [2,3]",2.56355,True
"group I expected qualifiers in [2,3]",2.67915,True
"group J expected qualifiers in [2,3]",2.65055,True
"group K expected qualifiers in [2,3]",2.6712499999999997,True
"group L expected qualifiers in [2,3]",2.67325,True
