team,p_champ_min,p_champ_max,spread
Argentina,0.15015,0.1619,0.011749999999999983
Spain,0.176,0.1857,0.009700000000000014
Germany,0.03635,0.04075,0.004400000000000001
England,0.05925,0.06335,0.004100000000000006
France,0.09265,0.0966,0.003950000000000009
Mexico,0.0284,0.0322,0.003799999999999998
Netherlands,0.02595,0.0297,0.00375
Portugal,0.03675,0.0402,0.0034500000000000017
Brazil,0.0438,0.0469,0.0030999999999999986
Colombia,0.05185,0.05465,0.002799999999999997
Japan,0.023,0.02535,0.0023500000000000014
United States,0.03335,0.0356,0.002250000000000002
Australia,0.02605,0.02825,0.0022000000000000006
Ecuador,0.0081,0.0103,0.0022000000000000006
Uruguay,0.017,0.01915,0.002149999999999999
South Korea,0.01035,0.01235,0.002
Switzerland,0.0078,0.00975,0.0019500000000000003
Norway,0.0155,0.0174,0.001899999999999999
Croatia,0.0159,0.01765,0.001749999999999998
Scotland,0.00465,0.0063,0.0016500000000000004
Iran,0.00685,0.0084,0.0015499999999999993
Belgium,0.0178,0.01915,0.0013500000000000005
Uzbekistan,0.00185,0.0031,0.0012499999999999998
Turkey,0.0028,0.00395,0.0011500000000000004
Senegal,0.00895,0.01005,0.0011000000000000003
Sweden,0.0034,0.0045,0.0010999999999999998
Austria,0.00545,0.0065,0.0010499999999999997
Ivory Coast,0.0066,0.00755,0.0009500000000000003
Egypt,0.0016,0.00255,0.0009500000000000001
Canada,0.00425,0.0052,0.0009499999999999995
Panama,0.0029,0.0037,0.0008000000000000004
Paraguay,0.001,0.0018,0.0007999999999999999
Algeria,0.0048,0.0055,0.0007000000000000001
DR Congo,0.00045,0.001,0.00055
Morocco,0.02315,0.0237,0.0005499999999999984
New Zealand,0.0005,0.001,0.0005
Iraq,0.0003,0.0007,0.0004
Czech Republic,0.0004,0.0007,0.0003
Bosnia and Herzegovina,0.0001,0.00035,0.00025
Saudi Arabia,0.0001,0.00035,0.00025
Jordan,0.001,0.0012,0.00019999999999999987
Cape Verde,5e-05,0.0002,0.00015000000000000001
Qatar,0.0,0.00015,0.00015
South Africa,0.0,0.00015,0.00015
Haiti,0.0,0.00015,0.00015
Ghana,0.0,0.0001,0.0001
Tunisia,0.0,0.0001,0.0001
Curaçao,0.0,5e-05,5e-05
