team,group,p_r32,p_r16,p_qf,p_sf,p_final,p_champion,p_group_win
Spain,H,0.9803,0.72005,0.54805,0.41195,0.2789,0.18115,0.7213
Argentina,J,0.96635,0.67675,0.53095,0.3766,0.25325,0.1536,0.6936
France,I,0.92925,0.70185,0.4503,0.2935,0.1598,0.09015,0.568
England,L,0.94355,0.6537,0.35935,0.21335,0.1152,0.0624,0.5608
Brazil,C,0.9236,0.58075,0.3747,0.21225,0.1064,0.05345,0.5157
Colombia,K,0.9013,0.61225,0.35495,0.18825,0.1048,0.05315,0.46035
Ecuador,E,0.91545,0.57365,0.28655,0.1567,0.0766,0.0357,0.45675
Portugal,K,0.8704,0.5538,0.29635,0.14835,0.07695,0.03545,0.3979
United States,D,0.98435,0.66855,0.3606,0.15355,0.07425,0.0327,0.57365
Netherlands,F,0.89665,0.4753,0.2975,0.145,0.0664,0.0319,0.44535
Germany,E,0.90155,0.5431,0.26365,0.14265,0.06485,0.02985,0.4069
Mexico,A,0.99435,0.7326,0.4017,0.1768,0.07095,0.02595,0.69055
Japan,F,0.87565,0.43365,0.2634,0.12615,0.0543,0.0253,0.4044
Morocco,C,0.84915,0.4228,0.24475,0.118,0.05045,0.0213,0.3253
Belgium,G,0.87515,0.5405,0.2446,0.0945,0.0431,0.01855,0.4603
Uruguay,H,0.87785,0.34485,0.18705,0.09255,0.04245,0.01755,0.22755
Switzerland,B,0.91865,0.55345,0.2458,0.09605,0.04125,0.0167,0.52925
Turkey,D,0.773,0.4577,0.21105,0.09095,0.04105,0.01645,0.2503
Norway,I,0.76125,0.4125,0.1952,0.0955,0.0398,0.01605,0.22325
Croatia,L,0.846,0.43955,0.1827,0.08475,0.03755,0.0154,0.28885
South Korea,A,0.96355,0.5822,0.22405,0.08445,0.03,0.0108,0.28995
Senegal,I,0.68505,0.3337,0.146,0.06185,0.0215,0.00825,0.17005
Australia,D,0.6458,0.32345,0.13205,0.0539,0.02115,0.0074,0.16065
Iran,G,0.7835,0.39585,0.14845,0.0512,0.02015,0.007,0.29685
Algeria,J,0.63855,0.2012,0.09035,0.03845,0.0157,0.00595,0.12365
Austria,J,0.65735,0.2123,0.097,0.03935,0.0154,0.0054,0.13325
Canada,B,0.85515,0.42385,0.1583,0.04585,0.0138,0.004,0.3427
Scotland,C,0.59915,0.1918,0.0827,0.0292,0.0096,0.00345,0.1215
Panama,L,0.6713,0.2349,0.0727,0.0248,0.0086,0.00285,0.1291
Uzbekistan,K,0.51505,0.17765,0.0535,0.0191,0.00665,0.0025,0.08495
Ivory Coast,E,0.64765,0.2213,0.06665,0.0216,0.00595,0.0019,0.1204
Egypt,G,0.6166,0.2373,0.0693,0.01975,0.0069,0.0017,0.15595
Paraguay,D,0.30145,0.1105,0.03555,0.01255,0.0043,0.00105,0.0154
Jordan,J,0.3883,0.08875,0.02985,0.00855,0.003,0.0009,0.0495
Sweden,F,0.47845,0.1179,0.0409,0.01255,0.004,0.00085,0.08525
Czech Republic,A,0.45405,0.1445,0.0375,0.0088,0.0023,0.00065,0.0151
Tunisia,F,0.4228,0.095,0.02885,0.0074,0.0021,0.0006,0.065
DR Congo,K,0.3845,0.1122,0.0302,0.0089,0.0026,0.0005,0.0568
Iraq,I,0.3036,0.08615,0.02405,0.0068,0.0019,0.0005,0.0387
New Zealand,G,0.43485,0.13265,0.03095,0.0072,0.00175,0.0004,0.0869
Saudi Arabia,H,0.38985,0.06395,0.01525,0.0037,0.00125,0.00025,0.0302
Haiti,C,0.3045,0.0592,0.01825,0.0044,0.0011,0.00015,0.0375
Bosnia and Herzegovina,B,0.6306,0.14315,0.0287,0.0053,0.00085,0.0001,0.09285
South Africa,A,0.24645,0.0617,0.0122,0.002,0.00035,5e-05,0.0044
Cape Verde,H,0.31555,0.04295,0.0103,0.0022,0.00055,5e-05,0.02095
Curaçao,E,0.2017,0.0311,0.0054,0.00085,0.0002,0.0,0.01595
Qatar,B,0.26845,0.04195,0.0059,0.0008,0.0,0.0,0.0352
Ghana,L,0.2124,0.0355,0.0059,0.0011,5e-05,0.0,0.02125
